date,temperature,humidity,soil_humidity,ph,water_quantity
04/12/2023,60.25,33.58,2.26,8.53,425.01
26/09/2021,-22.18,0.51,29.82,8.4,562.81
21/05/2022,72.26,42.59,92.04,8.12,873.49
02/09/2024,39.96,89.34,4.85,3.19,562.91
17/05/2022,57.78,70.14,81.57,11.0,704.82
28/03/2024,53.15,17.27,95.85,7.84,184.5
28/09/2022,60.82,50.76,65.29,2.0,477.32
07/08/2021,52.85,8.71,11.94,11.19,481.53
28/01/2024,102.98,28.26,55.94,0.25,914.4
23/06/2022,16.21,55.85,38.82,2.31,469.45
03/02/2024,18.84,96.69,68.02,6.04,184.53
29/05/2022,36.13,57.44,3.72,2.47,552.91
07/05/2023,96.65,22.6,60.76,6.47,804.61
30/05/2024,32.83,47.71,50.77,1.09,984.1
02/04/2021,45.54,37.03,42.26,8.95,282.4
14/01/2023,74.14,55.35,52.02,5.69,820.18
12/10/2023,-0.69,49.51,63.04,1.17,257.44
20/02/2022,112.39,75.02,8.51,4.13,855.38
13/08/2024,26.63,42.46,30.01,1.43,157.98
16/06/2021,-1.68,24.37,51.22,0.54,80.76
13/06/2023,37.87,34.7,29.21,9.57,136.03
01/05/2023,61.67,21.39,66.51,9.11,918.74
23/08/2024,104.47,81.53,89.24,9.41,874.13
13/07/2021,82.79,81.32,21.12,2.19,188.23
28/09/2024,19.89,8.05,8.16,9.02,727.74
22/07/2022,73.67,23.2,24.35,12.31,676.16
31/07/2024,8.0,12.78,6.01,13.35,401.87
09/04/2022,49.24,12.88,63.07,10.91,265.48
27/06/2023,-31.7,38.51,57.32,8.83,357.49
02/01/2024,34.87,96.43,63.54,12.93,243.86
17/07/2024,118.16,56.12,8.56,7.18,767.32
08/05/2023,63.28,24.34,8.45,12.01,397.13
04/07/2024,11.65,35.3,92.79,2.0,832.68
25/07/2024,41.57,17.89,91.48,6.54,664.08
10/09/2024,111.19,76.6,3.42,1.39,196.29
05/01/2022,102.91,73.81,34.57,9.52,594.54
29/07/2024,4.92,63.19,82.75,11.37,174.21
20/05/2021,3.46,59.87,1.45,9.57,181.92
15/05/2022,-14.38,36.65,71.82,5.73,397.5
20/11/2023,105.83,71.32,44.84,3.5,761.78
03/05/2021,69.67,14.35,24.48,5.16,917.05
22/04/2022,68.44,30.25,71.05,2.65,150.2
23/12/2023,70.1,21.86,92.49,5.4,473.86
25/01/2021,77.06,90.67,31.68,2.5,429.79
03/06/2022,35.85,71.16,63.46,5.73,112.78
02/09/2023,15.13,66.67,6.66,1.48,579.52
19/08/2024,43.06,23.94,3.82,10.63,576.0
26/12/2024,110.99,79.43,65.38,5.14,96.25
24/05/2022,64.01,36.66,34.53,2.64,849.4
21/04/2024,75.88,90.46,78.89,9.26,465.57
02/07/2023,-26.79,71.03,64.95,2.15,312.04
21/03/2023,103.01,38.85,98.8,7.85,573.11
03/12/2021,65.31,58.49,16.08,10.68,691.48
14/10/2024,84.94,19.32,44.37,4.74,832.79
02/02/2021,85.01,73.72,65.25,13.94,890.4
12/08/2023,-17.03,25.57,39.72,4.85,946.93
22/04/2024,7.69,27.9,78.47,8.89,159.06
25/01/2021,-20.09,36.8,9.77,12.59,119.23
16/07/2024,30.79,87.13,81.69,2.41,589.78
26/12/2024,36.57,73.17,47.73,1.26,592.67
05/05/2023,98.44,27.51,88.69,1.77,511.79
18/03/2024,112.14,10.03,0.23,7.84,896.0
31/01/2021,-5.17,96.38,69.37,10.47,573.62
06/08/2021,39.7,78.21,81.46,8.35,626.91
10/03/2024,-37.72,25.62,38.07,4.99,299.78
18/10/2021,118.76,71.05,81.0,3.36,224.19
14/04/2021,34.97,27.58,74.63,2.78,558.1
06/01/2024,75.05,17.54,63.48,2.49,728.57
24/09/2021,-19.21,83.22,24.89,6.34,557.9
08/09/2021,-17.53,48.7,77.47,8.63,722.09
07/10/2023,62.26,99.4,66.81,12.86,268.83
15/04/2023,62.66,94.19,18.52,1.74,316.41
29/09/2024,14.26,31.21,54.13,13.13,433.93
01/10/2024,-11.08,5.45,47.07,12.26,527.09
26/10/2022,24.02,14.85,30.03,7.59,485.71
16/03/2022,116.31,70.3,96.59,0.81,172.15
20/10/2022,32.49,30.09,54.8,8.07,452.87
14/02/2021,88.21,46.04,73.85,12.78,487.47
07/04/2021,41.51,63.12,0.91,5.23,106.6
08/03/2024,42.18,2.67,48.92,5.41,677.08
08/04/2023,96.95,48.47,13.84,5.54,797.59
25/10/2022,91.86,77.23,60.91,5.6,716.32
24/07/2024,98.96,30.76,14.23,4.38,473.86
24/05/2023,10.47,88.96,95.05,10.42,891.17
18/06/2024,22.82,85.04,93.62,5.09,203.1
17/09/2022,4.26,83.83,81.31,12.77,87.73
13/10/2024,105.81,72.02,27.25,11.62,67.8
27/08/2023,-3.8,89.37,76.57,10.92,677.84
29/07/2022,-12.53,84.51,71.02,3.12,721.23
12/12/2022,43.09,72.55,67.08,11.57,854.49
01/12/2024,2.61,80.25,73.21,5.3,308.82
07/06/2021,116.26,73.82,13.34,11.71,199.62
11/07/2024,-17.64,0.67,62.46,10.07,361.03
08/08/2024,6.0,44.1,56.98,4.08,327.13
03/03/2023,-22.88,44.04,73.88,11.79,548.18
08/04/2021,56.54,72.3,43.67,5.75,834.17
25/02/2022,39.7,77.43,62.5,4.78,375.28
23/06/2023,67.01,35.78,28.96,9.26,281.17
06/10/2024,73.89,64.07,22.32,12.13,6.64
25/08/2021,27.65,87.2,95.91,10.05,633.19
11/01/2024,25.48,50.75,84.94,1.44,405.07
28/06/2023,107.41,2.44,74.51,3.57,111.47
05/01/2024,99.78,20.62,98.01,7.37,740.57
28/01/2021,119.76,17.76,35.77,7.57,529.76
04/12/2021,77.96,53.47,12.0,3.11,768.74
29/09/2023,97.35,41.36,75.14,11.21,194.23
01/03/2023,59.56,94.66,92.88,8.05,211.92
19/04/2024,61.26,26.16,7.84,2.57,223.75
25/07/2023,103.58,12.5,77.39,4.09,198.28
15/08/2021,46.8,3.96,4.26,0.58,136.09
28/09/2024,79.82,36.47,13.66,9.26,175.26
20/09/2022,58.66,79.25,67.6,2.0,434.26
19/02/2022,-11.53,23.49,77.15,13.82,346.87
24/11/2023,47.48,42.16,80.21,1.87,249.51
09/09/2023,2.59,95.44,68.47,11.75,659.91
15/12/2021,51.95,29.22,77.21,9.15,912.51
17/01/2022,74.03,50.32,27.56,10.41,306.0
18/12/2023,86.68,96.53,11.91,13.73,114.1
10/06/2023,12.2,22.45,25.85,7.22,889.63
04/11/2024,99.6,11.4,13.89,9.13,56.35
09/12/2024,-19.15,68.4,17.8,0.96,272.92
02/03/2022,86.4,88.76,26.14,7.85,113.68
29/08/2024,-1.8,0.13,5.53,12.03,199.2
27/03/2023,33.88,48.92,54.9,4.63,453.25
07/06/2021,62.87,86.5,38.16,13.78,110.87
13/11/2023,69.62,74.52,16.21,13.3,888.15
23/11/2023,8.39,50.97,96.81,8.63,458.25
16/08/2022,72.88,16.31,34.9,5.47,918.85
10/11/2023,-14.15,88.44,38.56,1.7,635.34
28/12/2021,35.94,69.85,53.85,10.83,944.44
19/01/2021,94.64,48.87,95.22,8.31,781.72
23/06/2022,2.63,85.01,13.43,12.26,205.55
21/10/2023,86.89,83.06,69.99,4.2,434.34
17/10/2023,-15.75,66.47,52.19,7.66,544.09
23/04/2023,11.0,95.87,18.1,13.31,590.03
13/03/2023,68.95,98.82,20.88,9.27,387.88
25/06/2021,77.23,1.01,58.9,11.16,827.8
16/06/2022,89.65,1.78,24.23,10.37,669.55
30/09/2024,67.37,62.08,55.75,5.33,931.53
04/01/2023,40.53,56.0,4.93,6.89,140.97
28/12/2022,55.14,45.31,15.34,2.88,708.31
09/03/2021,4.26,81.41,73.7,10.81,601.41
28/11/2024,109.69,2.99,95.73,2.37,746.11
29/12/2023,107.32,17.22,78.02,1.04,128.5
30/06/2021,-10.84,13.19,50.84,13.0,57.21
03/02/2023,-7.11,23.24,51.2,6.17,367.34
03/04/2022,-25.71,42.04,29.53,0.29,338.32
25/12/2022,84.72,3.71,13.9,3.46,128.97
28/02/2023,-39.94,82.4,67.77,13.1,16.93
14/07/2021,-37.95,23.68,46.71,3.16,525.05
30/12/2024,3.7,79.95,34.55,4.0,337.9
22/04/2021,61.38,39.14,74.88,11.54,930.77
29/05/2023,-18.12,44.72,32.54,12.93,626.69
25/03/2024,41.2,69.31,60.26,6.1,958.87
10/09/2022,57.04,68.67,57.41,9.47,775.29
01/05/2022,91.93,84.05,4.37,5.96,801.43
27/07/2023,-30.03,46.13,89.29,0.87,257.87
14/06/2021,122.93,34.37,52.78,13.85,131.64
05/03/2024,9.83,27.46,35.52,8.25,251.12
04/03/2022,0.98,31.56,82.67,3.02,346.37
04/05/2022,79.33,12.85,85.84,9.31,685.46
17/09/2023,-26.11,82.76,13.94,10.86,605.68
17/01/2021,105.48,30.91,79.05,12.35,61.47
07/03/2022,75.32,87.69,30.65,13.93,330.45
21/02/2022,15.67,8.63,45.54,13.6,167.45
30/10/2024,49.71,65.07,19.61,8.93,743.61
23/04/2021,76.17,32.15,65.56,2.31,254.81
10/09/2021,37.26,41.09,70.29,3.68,162.82
09/07/2024,-26.03,16.73,61.98,5.66,419.38
05/03/2021,10.32,36.87,93.69,7.8,207.39
25/05/2022,115.14,76.3,40.98,12.46,987.89
05/09/2022,-37.16,80.71,5.49,7.61,519.38
05/01/2022,82.71,87.5,1.81,8.88,580.86
21/07/2024,-9.71,84.1,81.57,3.18,56.56
04/09/2022,-27.2,3.29,79.59,9.76,156.96
08/10/2021,19.67,94.64,33.28,7.77,90.93
28/04/2021,9.13,12.07,34.51,3.91,158.83
26/06/2021,79.68,21.03,63.52,7.8,648.08
31/03/2022,4.4,57.37,58.7,6.03,110.28
12/07/2021,116.42,66.68,9.74,0.54,557.31
07/08/2024,96.59,62.2,30.11,9.14,95.95
22/04/2022,50.41,39.94,79.43,13.94,447.2
30/01/2024,24.27,73.32,85.7,8.63,320.26
27/05/2023,32.09,16.98,28.17,12.43,302.12
06/12/2023,72.06,1.88,88.02,12.44,267.91
02/09/2021,50.48,99.58,0.92,10.2,513.76
07/02/2023,32.67,37.56,30.52,9.95,579.92
22/08/2022,19.22,14.99,80.37,12.67,808.22
07/02/2022,63.42,49.58,70.38,1.96,206.52
14/11/2024,22.64,17.08,57.59,12.11,484.79
18/03/2024,74.71,86.69,89.84,1.23,201.69
08/01/2023,-38.13,27.01,88.46,8.33,723.86
15/01/2024,7.79,8.61,64.32,12.35,910.09
29/04/2022,68.42,41.3,73.14,11.63,957.76
25/03/2023,-17.65,49.8,3.61,5.12,274.68
06/12/2024,-10.81,97.15,27.88,11.07,955.38
30/06/2024,73.42,55.13,68.91,3.7,192.91
22/05/2023,70.39,44.34,21.9,1.47,556.42
24/04/2022,35.91,1.34,51.41,7.16,678.03
14/11/2021,45.9,90.88,29.32,2.15,665.63
23/12/2021,38.51,98.41,16.39,12.51,888.56
06/01/2021,80.72,13.56,0.58,13.15,966.94
26/02/2021,71.5,60.76,53.6,10.39,732.36
28/11/2023,25.99,48.53,5.64,4.06,143.89
23/04/2024,-15.56,95.87,9.28,2.36,383.83
13/10/2024,70.01,81.64,88.96,4.65,149.26
28/06/2023,124.99,52.9,18.0,9.1,576.09
09/10/2021,113.17,39.57,47.32,0.65,609.7
29/07/2023,-29.42,3.3,93.18,2.56,672.58
01/10/2023,-2.34,90.36,51.58,13.67,691.45
03/11/2021,-7.65,59.91,73.71,6.28,257.98
13/10/2023,95.1,51.31,89.85,3.63,513.16
12/06/2023,12.34,86.32,30.64,5.83,959.61
16/08/2023,26.47,99.2,28.8,3.73,865.54
10/11/2022,-13.13,97.92,51.11,12.99,704.85
29/07/2023,39.29,55.95,69.5,5.46,272.62
27/12/2023,46.29,68.02,46.33,12.23,680.21
25/05/2021,86.34,6.57,4.82,5.45,699.32
08/11/2023,-30.94,85.97,71.36,3.32,729.19
09/12/2023,2.59,99.67,6.89,11.4,188.43
13/04/2022,111.42,74.46,4.74,1.74,82.42
30/09/2023,6.03,64.62,91.31,5.85,318.44
03/02/2024,44.99,61.18,33.9,2.62,115.15
25/12/2021,82.51,82.82,71.63,3.23,884.24
18/07/2021,-38.67,28.1,77.66,6.11,985.05
22/06/2022,-27.4,62.65,66.08,6.22,82.62
08/02/2021,62.28,15.27,19.72,4.06,897.64
23/07/2024,62.1,94.34,89.02,11.3,660.71
04/10/2022,-39.82,92.87,30.99,0.91,936.29
22/05/2022,-11.28,76.35,47.33,9.2,571.9
30/11/2021,19.21,48.85,75.75,0.47,196.41
09/07/2024,-35.59,93.03,70.51,12.12,353.81
24/03/2024,-31.04,39.46,74.96,11.82,756.05
20/02/2022,55.56,99.43,18.06,4.43,311.71
19/11/2022,80.91,55.03,60.47,2.24,744.42
14/07/2022,43.07,53.81,66.4,10.83,51.28
12/12/2024,58.84,47.15,14.13,1.38,826.43
27/08/2024,73.3,45.88,27.8,12.12,980.21
10/07/2021,66.25,89.02,28.17,6.23,837.94
21/12/2023,61.41,57.02,39.01,11.84,281.97
30/09/2022,18.07,59.0,42.11,4.56,4.62
14/04/2024,-39.91,99.15,65.83,4.59,277.86
05/11/2022,72.45,79.68,40.96,13.7,680.32
03/07/2023,-30.91,99.07,52.93,2.04,12.73
05/12/2022,110.49,24.23,76.19,2.65,599.23
11/02/2021,-39.55,52.44,43.85,4.45,929.78
14/02/2022,-12.36,54.67,98.21,1.42,201.44
03/05/2024,110.29,9.91,48.73,9.28,25.54
09/08/2022,-37.31,84.22,45.23,4.61,832.63
13/07/2024,92.75,81.37,82.54,2.32,293.42
30/01/2023,62.58,15.0,59.72,13.02,500.85
09/10/2023,-23.43,84.38,2.82,4.14,21.55
05/12/2021,59.27,31.65,15.77,12.61,774.63
03/11/2022,-10.19,1.0,4.83,8.41,761.71
12/09/2021,-35.87,47.99,82.48,7.03,2.7
04/09/2022,115.91,40.09,72.93,2.46,189.19
30/08/2022,7.93,10.67,41.47,6.13,795.21
01/12/2024,7.9,38.91,66.85,7.75,716.22
01/07/2024,72.79,53.77,15.48,5.83,571.3
03/04/2023,-37.93,18.92,90.01,9.95,382.14
25/02/2023,84.57,67.71,20.28,3.5,371.98
28/04/2024,52.74,68.65,65.99,11.95,494.73
15/02/2021,101.81,52.39,91.71,11.5,2.89
20/06/2021,124.11,64.64,59.46,8.5,790.6
23/03/2022,118.21,46.75,45.3,10.04,627.69
22/01/2024,110.77,63.06,45.84,7.01,773.66
03/11/2021,60.17,53.77,9.58,11.91,779.57
12/02/2022,107.85,89.92,8.69,8.25,392.51
12/06/2023,113.88,26.55,7.75,3.69,450.37
17/06/2021,69.7,17.95,75.29,0.99,295.16
31/07/2021,-9.88,7.64,33.29,3.77,515.71
24/04/2023,124.1,93.15,48.36,7.71,362.39
17/08/2024,105.36,17.35,52.99,11.49,425.97
27/12/2022,25.2,53.07,23.09,5.52,182.49
07/07/2021,103.73,3.18,59.36,0.33,491.63
13/08/2021,-33.11,84.72,32.24,10.57,449.99
05/10/2024,115.83,16.22,8.1,5.33,222.23
06/12/2023,59.81,40.81,80.47,10.1,520.75
27/01/2021,-35.23,71.9,21.68,12.58,767.27
21/03/2024,48.3,44.22,80.87,10.34,22.68
03/10/2021,36.43,2.33,57.19,8.8,463.67
10/11/2021,67.71,0.6,91.66,8.13,6.46
01/11/2024,115.15,18.68,10.2,0.36,449.25
07/08/2024,-34.1,59.01,92.3,8.12,115.96
21/04/2022,-35.8,28.46,54.79,8.35,558.3
25/10/2024,-11.95,64.56,93.17,13.56,820.58
04/03/2021,69.66,47.29,86.82,6.63,95.85
28/11/2024,94.73,99.7,52.39,4.97,872.83
08/07/2022,120.22,53.63,41.52,11.46,592.36
31/01/2024,78.67,2.45,31.52,8.91,618.74
14/01/2022,-0.15,8.8,67.07,5.96,489.42
30/12/2023,-22.25,45.21,41.44,5.49,337.62
02/03/2023,98.29,87.22,50.33,5.62,416.2
13/10/2024,58.35,65.97,3.74,2.3,503.92
06/10/2022,57.87,80.37,17.41,2.81,586.39
23/10/2021,57.02,62.63,74.4,9.23,233.34
14/05/2022,56.45,71.06,92.14,7.63,8.0
12/09/2021,60.62,8.9,16.54,0.79,771.36
24/12/2024,42.37,99.79,69.38,10.94,233.31
18/11/2022,0.5,57.49,54.03,6.51,967.07
09/09/2024,25.22,84.34,49.99,4.01,400.84
29/11/2023,-5.65,96.87,90.66,1.8,943.61
15/04/2024,37.75,7.94,40.81,1.04,130.21
13/03/2023,100.38,12.36,13.15,13.83,553.95
10/05/2022,-21.37,13.98,1.21,8.53,638.61
14/06/2023,109.55,15.13,6.72,1.84,780.16
03/02/2023,27.78,44.7,71.24,6.71,626.3
26/03/2023,66.15,8.33,86.53,2.88,184.17
02/05/2022,113.51,13.37,44.82,0.57,347.98
02/10/2023,96.57,28.96,42.48,0.3,118.47
30/05/2024,-39.63,23.79,17.19,4.21,336.07
02/06/2021,25.28,76.26,86.71,6.47,973.04
03/06/2021,64.74,64.62,72.24,4.35,121.94
06/03/2024,74.5,58.09,99.48,12.33,943.4
30/05/2024,18.71,15.31,90.62,13.67,483.84
01/03/2021,87.58,31.95,73.01,1.04,665.14
24/09/2023,45.46,89.39,40.37,5.49,886.26
21/10/2023,84.17,73.43,81.41,12.88,633.23
19/02/2023,52.84,19.39,0.94,10.06,393.28
19/09/2021,71.79,54.28,52.52,11.02,18.32
22/07/2024,-29.94,17.43,84.48,1.26,332.41
26/01/2023,107.6,70.42,8.21,9.22,982.55
20/08/2024,-32.26,35.61,48.62,2.41,555.33
20/03/2024,57.84,86.72,20.12,10.82,524.4
07/07/2021,71.42,20.93,91.53,2.34,778.83
06/08/2024,-16.66,59.8,11.85,4.8,626.8
15/12/2023,70.98,29.62,85.68,8.4,344.35
13/09/2022,-2.29,31.13,42.43,8.85,440.77
08/10/2023,65.95,34.9,40.46,7.55,582.15
12/03/2021,53.13,53.18,70.17,2.5,338.15
09/04/2021,16.4,0.97,34.83,3.75,619.82
26/03/2022,70.57,22.81,23.2,11.9,162.42
15/04/2021,60.27,72.44,50.61,3.37,527.52
20/04/2021,14.43,74.34,68.94,10.8,316.8
30/01/2024,6.97,2.08,31.19,12.99,463.82
06/09/2021,91.46,42.79,27.28,7.46,311.56
20/04/2022,-37.65,26.63,86.35,8.12,278.85
28/11/2024,79.77,31.19,69.36,8.63,234.56
02/03/2021,-4.68,83.66,76.44,12.97,525.04
04/02/2021,36.47,72.63,30.82,13.9,516.72
18/05/2023,36.98,53.32,68.6,1.04,66.41
02/06/2021,24.97,81.26,90.76,9.09,329.21
14/10/2022,4.81,98.99,29.45,1.24,935.8
04/06/2024,47.49,90.72,79.82,0.14,293.07
05/08/2021,65.08,85.39,3.53,0.96,881.52
02/03/2023,103.35,87.54,80.18,1.95,301.56
10/09/2022,75.26,82.69,83.18,4.73,712.67
31/08/2021,58.46,79.79,43.95,13.69,809.68
19/04/2023,26.74,57.93,71.16,12.71,968.38
07/09/2022,40.91,77.01,13.02,0.15,937.07
17/11/2024,106.56,87.35,57.03,11.91,156.18
09/01/2024,85.36,54.84,61.42,7.65,277.55
28/10/2023,74.67,54.01,28.81,4.72,900.8
02/12/2024,61.91,19.33,36.29,6.78,343.26
18/10/2023,-1.66,16.88,6.08,5.29,570.03
02/12/2024,-6.13,64.08,73.88,1.76,733.07
14/12/2022,79.65,92.64,92.05,6.58,156.74
02/07/2021,77.43,46.9,20.05,4.71,154.54
16/05/2022,108.76,6.94,11.05,2.81,864.62
15/08/2024,85.4,49.92,7.76,7.25,346.37
15/03/2024,73.23,94.73,25.27,6.39,556.05
03/09/2022,6.31,45.93,64.06,7.72,15.14
18/07/2021,86.72,39.12,11.74,8.53,480.85
19/04/2022,86.31,88.43,22.12,3.2,794.11
14/09/2024,54.42,56.4,2.76,10.73,187.94
10/11/2021,32.47,33.61,40.13,1.86,23.73
10/04/2021,85.98,73.94,10.62,9.85,82.11
29/12/2021,58.83,50.58,62.84,6.02,800.46
21/06/2023,-0.91,60.64,55.67,5.69,192.87
09/04/2023,-6.95,45.55,4.76,2.47,86.83
25/05/2022,82.14,92.68,49.03,3.92,525.28
05/02/2024,113.34,80.56,66.57,6.39,303.07
05/03/2021,-23.32,30.85,8.65,7.78,575.95
05/08/2022,-31.49,35.11,77.47,7.37,564.17
27/03/2021,51.62,49.53,0.79,12.52,112.67
23/08/2022,79.8,47.13,70.48,8.94,227.72
08/03/2023,-35.17,21.15,77.66,11.91,960.41
18/03/2024,62.73,49.04,65.05,0.02,755.81
14/07/2024,82.09,11.39,53.58,11.65,820.29
21/06/2024,-18.46,35.38,38.65,9.07,771.12
07/10/2021,49.7,66.25,44.8,9.5,782.6
11/10/2024,-16.15,90.9,79.32,3.34,153.06
08/09/2022,-9.25,27.07,86.35,2.79,395.22
17/07/2022,96.88,7.61,9.86,10.92,425.42
17/07/2024,74.64,89.16,27.83,2.33,58.41
10/02/2023,1.75,24.71,49.69,12.5,873.86
11/08/2023,88.42,73.35,33.96,5.04,938.76
25/04/2021,-4.05,82.43,32.28,13.48,636.74
13/06/2022,32.77,8.98,62.62,7.25,856.1
02/03/2023,32.99,17.36,14.42,1.77,396.66
13/06/2022,-24.48,9.72,50.77,5.7,21.65
07/03/2021,-11.53,24.08,16.48,5.01,865.41
21/04/2023,123.92,26.74,21.02,7.12,322.08
01/06/2024,60.99,16.43,29.41,7.04,220.96
21/12/2021,-16.63,65.21,15.18,13.96,370.14
11/01/2021,44.09,54.0,49.55,7.53,883.19
09/12/2024,-10.69,47.96,66.33,2.03,814.78
20/03/2023,87.64,48.17,74.9,13.67,980.24
29/11/2024,94.13,59.16,55.78,4.95,914.36
20/02/2021,115.08,25.72,3.0,0.29,690.33
22/05/2023,108.58,96.76,77.24,8.93,942.33
09/03/2023,46.95,0.5,18.26,1.49,772.6
27/01/2024,95.33,34.95,87.75,12.68,903.02
01/02/2022,121.12,70.03,22.46,1.97,639.91
26/11/2023,12.98,81.0,43.54,0.22,965.91
30/04/2024,68.93,59.96,18.41,1.69,662.77
03/04/2023,32.81,33.95,81.38,9.88,966.43
09/10/2023,-14.19,25.78,91.76,10.6,972.63
26/07/2022,113.19,39.61,70.41,7.53,150.0
27/06/2023,42.31,17.83,64.39,5.32,164.35
30/08/2021,24.07,28.81,43.33,12.64,990.23
31/10/2022,95.44,79.57,27.81,4.36,66.4
09/08/2024,99.65,38.38,36.85,5.2,988.86
02/02/2021,53.94,45.3,66.01,11.87,797.8
25/08/2021,2.61,7.15,84.3,8.71,476.14
22/12/2021,-13.1,12.16,6.5,2.99,511.89
01/10/2021,53.37,73.32,96.37,6.53,803.93
02/12/2022,81.36,92.71,36.71,4.45,71.31
03/09/2022,-24.99,20.22,64.78,5.44,291.01
11/09/2023,101.53,82.15,26.72,9.97,157.15
31/10/2023,-29.23,36.13,93.11,11.61,172.6
23/02/2022,100.53,45.25,8.51,6.15,358.89
13/08/2022,-39.67,10.17,89.31,12.35,612.06
15/11/2021,93.99,30.73,31.45,2.03,215.2
23/11/2022,113.96,32.46,50.42,11.31,973.64
04/11/2023,19.28,39.01,28.28,12.39,783.45
18/08/2022,81.35,3.37,62.77,1.87,761.05
06/07/2023,86.05,15.36,67.75,1.01,187.22
04/03/2024,84.9,67.23,60.05,8.13,882.83
07/08/2024,-28.83,95.76,69.36,2.51,937.61
31/08/2022,-28.33,92.35,85.09,11.26,417.54
20/04/2023,65.28,70.69,35.48,3.34,855.31
27/09/2024,69.69,25.27,50.79,9.94,907.43
13/10/2022,6.21,36.44,46.39,8.66,414.57
10/09/2022,42.63,71.71,29.69,4.45,407.32
27/01/2021,31.09,5.25,95.74,6.11,754.41
21/10/2024,-24.66,45.46,27.79,2.5,108.59
11/08/2023,16.55,36.56,8.68,2.7,167.14
20/06/2023,17.28,96.18,2.45,9.4,171.23
08/12/2024,48.47,92.93,54.46,0.74,564.89
15/05/2023,88.96,11.39,60.49,6.31,574.32
26/08/2023,13.1,19.19,77.19,10.61,348.19
31/05/2024,20.49,1.84,84.59,0.71,685.5
27/08/2022,-31.87,88.16,25.17,4.98,401.35
15/08/2022,113.52,99.21,74.85,2.27,893.58
10/09/2024,54.4,66.02,24.56,6.82,105.18
28/01/2024,-7.93,45.06,96.98,8.29,244.32
30/12/2022,38.37,38.67,16.54,2.73,496.45
29/12/2022,59.97,72.64,70.83,11.58,547.59
11/07/2024,52.43,10.63,40.33,0.22,45.36
13/06/2024,55.28,41.48,74.58,8.64,623.78
12/08/2022,105.26,64.53,55.81,11.72,857.59
16/01/2024,-7.37,74.37,98.99,2.99,232.75
10/06/2022,116.1,71.45,91.35,1.21,923.54
31/10/2022,124.77,15.31,10.92,5.02,988.09
24/02/2022,120.57,64.2,89.3,11.81,125.8
05/10/2021,73.7,18.65,77.33,12.86,81.49
29/03/2024,80.23,79.07,82.16,3.43,16.86
21/08/2023,81.05,98.67,81.66,9.47,824.7
22/01/2022,-16.08,67.32,34.26,13.11,288.33
17/09/2024,54.17,3.98,67.85,1.77,280.47
08/05/2021,-20.79,80.45,44.58,3.2,237.53
04/05/2022,58.15,37.47,62.48,2.02,530.79
01/06/2021,-34.53,66.06,55.05,7.08,236.77
08/02/2022,-36.28,25.47,65.68,8.39,421.66
31/08/2024,38.59,87.42,45.32,6.98,641.44
18/01/2024,59.75,38.52,32.99,6.84,923.71
11/05/2022,78.93,77.45,78.47,13.94,959.08
08/10/2022,83.12,44.04,44.31,5.39,243.75
09/08/2022,24.54,94.52,40.63,5.65,241.98
23/04/2021,-27.55,98.78,25.08,10.6,608.69
03/06/2021,69.16,81.94,85.33,3.65,629.76
18/12/2023,14.55,96.62,82.79,1.01,929.25
18/11/2024,86.39,21.53,94.22,7.81,600.48
02/01/2023,123.75,14.69,37.03,13.22,614.6
20/08/2023,10.98,97.44,83.77,9.81,843.34
31/08/2023,-20.67,63.59,92.31,7.94,188.27
